date,time,local_date,local_time,player_count,wayback_url
2005-11-05,02:12:39,2005-11-04,20:12:39,120565,https://web.archive.org/web/20051105021239/http://www.runescape.com/title.ws
2005-11-05,02:24:10,2005-11-04,20:24:10,120019,https://web.archive.org/web/20051105022410/http://www.runescape.com/title.ws
2005-11-06,04:00:26,2005-11-05,22:00:26,103735,https://web.archive.org/web/20051106040026/http://www.runescape.com/title.ws
2005-11-06,04:01:26,2005-11-05,22:01:26,103290,https://web.archive.org/web/20051106040126/http://www.runescape.com/title.ws
2005-11-07,01:54:06,2005-11-06,19:54:06,101695,https://web.archive.org/web/20051107015406/http://www.runescape.com/title.ws
2005-11-07,09:45:45,2005-11-07,03:45:45,24051,https://web.archive.org/web/20051107094545/http://www.runescape.com/title.ws
2005-11-23,21:50:27,2005-11-23,15:50:27,130651,https://web.archive.org/web/20051123215027/http://www.runescape.com/title.ws
2005-11-23,22:45:48,2005-11-23,16:45:48,121878,https://web.archive.org/web/20051123224548/http://www.runescape.com/title.ws
2005-11-24,01:32:37,2005-11-23,19:32:37,117216,https://web.archive.org/web/20051124013237/http://www.runescape.com/title.ws
2005-11-24,01:33:58,2005-11-23,19:33:58,117373,https://web.archive.org/web/20051124013358/http://www.runescape.com/title.ws
2005-11-24,04:48:32,2005-11-23,22:48:32,85711,https://web.archive.org/web/20051124044832/http://www.runescape.com/title.ws
2005-11-24,05:31:29,2005-11-23,23:31:29,76308,https://web.archive.org/web/20051124053129/http://www.runescape.com/title.ws
2005-11-24,05:32:49,2005-11-23,23:32:49,75917,https://web.archive.org/web/20051124053249/http://www.runescape.com/title.ws
2005-11-24,09:02:12,2005-11-24,03:02:12,35937,https://web.archive.org/web/20051124090212/http://www.runescape.com/title.ws
2005-11-24,11:39:26,2005-11-24,05:39:26,34951,https://web.archive.org/web/20051124113926/http://www.runescape.com/title.ws
2005-11-24,13:45:43,2005-11-24,07:45:43,76925,https://web.archive.org/web/20051124134543/http://www.runescape.com/title.ws
2005-11-24,16:37:35,2005-11-24,10:37:35,146935,https://web.archive.org/web/20051124163735/http://www.runescape.com/title.ws
2005-11-24,17:23:22,2005-11-24,11:23:22,146623,https://web.archive.org/web/20051124172322/http://www.runescape.com/title.ws
2005-11-24,18:11:37,2005-11-24,12:11:37,142090,https://web.archive.org/web/20051124181137/http://www.runescape.com/title.ws
2005-11-24,19:45:52,2005-11-24,13:45:52,132270,https://web.archive.org/web/20051124194552/http://www.runescape.com/title.ws
2005-11-24,20:08:33,2005-11-24,14:08:33,125478,https://web.archive.org/web/20051124200833/http://www.runescape.com/title.ws
